# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
operator/;(row_vector b, matrix A);row_vector;338
operator/;(row_vector x, real y);row_vector;326
operator/;(vector x, real y);vector;326
operator<;(int x, int y);int;295
operator<;(real x, real y);int;296
operator<=;(int x, int y);int;296
operator<=;(real x, real y);int;296
operator==;(int x, int y);int;296
operator==;(real x, real y);int;296
operator>;(int x, int y);int;296
operator>;(real x, real y);int;296
operator>=;(int x, int y);int;296
operator>=;(real x, real y);int;296
operator\;(matrix A, matrix B);matrix;338
operator\;(matrix A, vector b);vector;338
operator^;(real x, real y);real;300
operator||;(int x, int y);int;297
operator||;(real x, real y);int;297
ordered_logistic;~;real;353
ordered_logistic_log;(int k, real eta, vector c);real;353
ordered_logistic_rng;(real eta, vector c);int;353
owens_t;(real h, real a);real;309
pareto;~;real;379
pareto_ccdf_log;(reals y, reals y_min, reals alpha);real;379
pareto_cdf;(reals y, reals y_min, reals alpha);real;379
pareto_cdf_log;(reals y, reals y_min, reals alpha);real;379
pareto_log;(reals y, reals y_min, reals alpha);real;379
pareto_rng;(real y_min, real alpha);real;379
pareto_type_2;~;real;380
pareto_type_2_ccdf_log;(reals y, reals mu, reals lambda, reals alpha);real;380
pareto_type_2_cdf;(reals y, reals mu, reals lambda, reals alpha);real;380
pareto_type_2_cdf_log;(reals y, reals mu, reals lambda, reals alpha);real;380
pareto_type_2_log;(reals y, reals mu, reals lambda, reals alpha);real;380
pareto_type_2_rng;(real mu, real lambda, real alpha);real;380
pi;();real;294
poisson;~;real;357
poisson_ccdf_log;(ints n, reals lambda);real;357
poisson_cdf;(ints n, reals lambda);real;357
poisson_cdf_log;(ints n, reals lambda);real;357
poisson_log;(ints n, reals lambda);real;357
poisson_log;~;real;358
poisson_log_log;(ints n, reals alpha);real;358
poisson_log_rng;(real alpha);int;358
poisson_rng;(real lambda);int;357
positive_infinity;();real;294
pow;(real x, real y);real;304
print;(T1 x1,..., TN xN);void;290
prod;(int x[]);real;316
prod;(matrix x);real;332
prod;(real x[]);real;316
